AST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
9/10/2015,33,30,28,27,24,23,84,72,54,1012,1010,1008,31,13,3,39,29,,1.02,2,Rain-Thunderstorm,78
9/11/2015,34,31,28,26,25,24,84,72,50,1013,1011,1009,31,15,10,32,27,,0,2,,74
9/12/2015,34,31,28,26,25,22,84,74,42,1013,1011,1008,31,15,10,37,24,52,0,1,,81
9/13/2015,34,31,28,25,24,24,79,69,51,1012,1010,1008,31,15,10,45,32,61,0,1,,87
9/14/2015,33,31,28,25,24,24,79,69,57,1013,1011,1008,31,15,10,42,32,53,0,2,,79
9/15/2015,34,31,28,25,25,24,84,71,51,1013,1011,1008,31,11,10,34,26,45,0,2,,70
9/16/2015,34,31,28,26,25,24,79,70,49,1012,1010,1007,31,13,10,42,32,61,0,2,,86
9/17/2015,34,31,28,25,24,24,79,69,50,1011,1009,1006,31,13,10,39,34,52,0,2,,85
9/18/2015,33,30,27,26,24,24,84,72,55,1010,1008,1005,31,14,10,39,29,55,0,2,,78
9/19/2015,33,31,28,26,26,25,84,74,58,1011,1009,1007,31,14,10,34,27,,0,3,,79
9/20/2015,33,30,28,26,25,24,84,75,57,1011,1009,1006,31,14,10,37,26,53,0,1,,74
9/21/2015,34,31,28,26,26,24,89,75,53,1011,1008,1005,31,12,10,37,29,53,0,2,,78
9/22/2015,34,31,28,26,26,25,84,73,53,1009,1008,1005,26,14,10,40,34,58,0,1,,78
9/23/2015,34,31,28,26,26,25,84,75,53,1010,1008,1005,26,14,10,37,29,55,0,1,,80
9/24/2015,34,31,28,26,25,23,84,70,45,1010,1008,1006,31,15,10,42,31,61,0,1,,81
9/25/2015,34,31,28,26,24,23,79,70,52,1011,1009,1005,31,14,10,40,31,53,0,1,,81
9/26/2015,34,31,28,26,25,24,84,72,51,1011,1009,1006,26,13,10,39,29,60,0,1,,80
9/27/2015,35,32,28,26,26,25,84,73,49,1011,1009,1007,19,12,10,40,31,50,0,1,,81
9/28/2015,34,31,28,26,25,25,84,73,52,1011,1008,1006,19,12,10,37,29,,0,1,,77
9/29/2015,33,31,28,25,24,24,84,72,50,1009,1008,1005,19,12,10,35,27,,0,1,,81
9/30/2015,34,31,27,25,24,23,79,70,50,1009,1007,1004,31,13,10,32,24,,0,1,,74
10/1/2015,34,30,26,26,25,24,84,77,63,1009,1007,1004,31,14,10,19,11,,0,1,,86
10/2/2015,32,28,24,26,24,22,89,76,61,1010,1008,1006,31,14,10,23,8,47,0.25,2,Rain-Thunderstorm,150
10/3/2015,34,30,26,26,25,22,89,75,49,1010,1008,1006,26,12,10,24,16,,0,1,,83
10/4/2015,35,31,28,27,26,24,84,68,46,1011,1009,1006,19,13,10,37,29,55,0,1,,74
10/5/2015,34,31,28,26,26,25,84,72,54,1012,1010,1008,19,12,10,40,29,53,0,1,,87
10/6/2015,34,31,28,26,24,24,79,70,51,1012,1010,1008,26,13,10,42,32,64,0,2,,89
10/7/2015,34,31,28,25,24,24,79,69,52,1012,1010,1007,31,15,10,39,31,55,0,1,,81
10/8/2015,34,31,28,26,24,24,84,70,48,1012,1010,1007,31,12,10,35,29,52,0,1,,79
10/9/2015,34,31,28,25,24,24,79,69,52,1012,1010,1007,31,13,10,39,31,58,0,2,,80
10/10/2015,33,31,28,25,24,24,79,70,54,1012,1010,1008,26,11,10,40,31,60,0,1,,83
10/11/2015,34,31,28,26,25,24,84,72,47,1011,1009,1007,26,12,10,35,29,50,0,1,,83
10/12/2015,33,31,28,25,24,24,84,70,52,1012,1010,1008,31,14,10,40,27,63,0,1,,86
10/13/2015,33,31,28,24,23,22,79,66,48,1013,1011,1009,26,15,10,37,29,,0,1,,84
10/14/2015,33,30,27,25,24,24,84,72,50,1012,1010,1008,26,14,10,40,26,58,0,2,,81
10/15/2015,32,30,27,25,24,23,84,71,52,1012,1010,1008,31,13,10,34,27,50,0,2,,90
10/16/2015,33,30,27,25,24,23,79,69,51,1011,1009,1007,31,14,10,39,29,52,0,1,,87
10/17/2015,34,31,28,26,24,24,84,70,50,1012,1010,1007,31,15,10,40,29,55,0,1,,87
10/18/2015,34,31,27,26,25,24,84,72,51,1013,1011,1008,31,15,10,34,24,,0,1,,78
10/19/2015,34,31,27,26,25,24,84,74,51,1012,1011,1008,31,14,2,161,24,,0,1,,79
10/20/2015,33,31,28,26,25,24,89,71,53,1012,1010,1007,31,14,10,39,29,58,0,1,,79
10/21/2015,34,31,28,25,24,23,79,71,53,1012,1010,1007,26,11,10,42,32,53,0,1,,83
10/22/2015,33,31,28,25,24,24,84,73,53,1012,1010,1007,10,10,10,34,26,,0,1,,79
10/23/2015,33,30,28,26,25,24,84,73,52,1011,1009,1006,10,10,10,27,19,,0,2,,77
10/24/2015,33,29,26,25,24,22,84,71,51,1011,1009,1007,10,10,10,27,19,,0,2,,84
10/25/2015,33,30,27,26,26,24,94,81,59,1012,1010,1008,26,12,10,26,16,47,0,3,Rain-Thunderstorm,86
10/26/2015,30,29,28,26,24,22,89,77,52,1013,1010,1008,26,12,10,34,19,,0,3,,106
10/27/2015,32,30,28,25,24,22,84,73,56,1014,1012,1010,31,12,10,39,23,,0,1,,94
10/28/2015,33,30,27,25,24,23,84,73,55,1014,1012,1010,31,12,10,32,24,,0,1,,77
10/29/2015,33,30,27,25,24,21,84,70,43,1013,1011,1010,10,10,10,27,21,,0,1,,75
10/30/2015,32,29,26,28,24,23,89,75,51,1013,1011,1008,10,10,10,24,16,,0,1,,82
10/31/2015,33,29,26,25,24,23,89,74,53,1013,1011,1009,10,10,10,23,14,,0,1,,77
11/1/2015,33,30,27,25,24,23,79,70,51,1012,1010,1008,10,10,10,27,19,,0.51,2,Rain,77
11/2/2015,32,30,27,25,24,23,84,73,51,1012,1010,1007,10,10,10,26,18,,0.51,2,Rain,78
11/3/2015,32,29,27,25,24,24,84,76,62,1012,1010,1008,19,10,10,27,21,,0,2,,84
11/4/2015,33,30,28,25,24,23,84,72,56,1012,1010,1008,10,10,10,35,24,,0,3,,87
11/5/2015,32,30,27,24,24,23,79,70,52,1013,1011,1009,10,10,10,27,24,,0,2,,74
11/6/2015,33,29,26,24,23,22,84,69,48,1014,1011,1010,10,10,10,32,23,40,0,2,,76
11/7/2015,32,29,26,25,24,22,89,73,57,1012,1010,1007,10,10,8,39,23,58,0.25,2,,89
11/8/2015,33,30,28,25,24,23,84,71,53,1013,1010,1008,31,13,10,40,32,58,0,2,,87
11/9/2015,33,30,28,28,26,24,100,77,59,1013,1011,1009,31,14,10,40,31,55,0,2,,85
11/10/2015,32,30,27,26,24,23,84,72,54,1013,1011,1009,26,13,10,40,32,64,0.51,2,Rain,83
11/11/2015,33,30,28,25,24,23,79,72,55,1012,1010,1008,26,14,10,40,32,50,0,2,Rain,84
11/12/2015,32,30,28,25,24,23,79,70,54,1012,1010,1008,26,14,10,40,31,,0,2,,84
11/13/2015,32,29,26,25,23,22,84,70,47,1011,1009,1007,26,14,10,37,29,55,0.51,2,Rain,80
11/14/2015,32,30,28,24,23,22,79,67,49,1011,1010,1008,26,14,10,47,35,69,0,2,,84
11/15/2015,32,30,28,24,24,23,79,71,54,1012,1011,1008,26,14,10,47,37,63,0,2,,82
11/16/2015,32,29,27,25,23,23,79,71,56,1011,1009,1007,26,14,10,42,35,61,0,2,,81
11/17/2015,32,30,27,24,23,23,79,70,51,1010,1008,1007,26,13,10,42,34,61,0,2,,87
11/18/2015,31,28,25,25,24,23,94,77,63,1012,1010,1008,26,12,3,39,26,,27.94,3,Rain-Thunderstorm,77
11/19/2015,29,27,26,25,23,22,89,81,67,1013,1011,1009,31,13,10,27,18,,0.25,3,Rain,81
11/20/2015,31,27,23,24,23,22,91,74,50,1012,1010,1008,31,12,10,26,13,,0,1,,74
11/21/2015,31,28,26,24,23,23,83,72,54,1011,1009,1007,10,10,10,34,21,,0,1,,78
11/22/2015,31,28,25,24,24,23,89,74,61,1012,1010,1008,10,10,10,39,29,48,0.25,2,,78
11/23/2015,32,30,28,25,24,24,84,74,62,1012,1010,1007,10,10,10,34,27,,0,2,,82
11/24/2015,32,29,27,24,24,23,84,73,53,1012,1010,1008,10,10,10,29,24,,0,2,,81
11/25/2015,32,30,27,25,24,23,84,72,54,1013,1010,1009,31,14,10,34,26,,1.02,2,,76
11/26/2015,32,29,27,25,24,23,89,74,57,1013,1011,1009,31,15,10,35,26,50,0,2,Rain,82
11/27/2015,31,29,27,25,24,23,84,72,57,1011,1009,1007,31,14,10,148,32,53,0,2,,95
11/28/2015,31,29,27,25,24,22,84,75,64,1011,1008,1007,26,14,10,39,26,58,0,2,,86
11/29/2015,30,28,27,26,24,24,89,80,72,1011,1009,1006,26,13,10,32,19,53,0,2,,71
11/30/2015,32,30,27,25,24,24,84,74,57,1009,1007,1004,26,14,10,42,31,61,0,2,,93
12/1/2015,32,30,28,26,25,24,84,75,59,1010,1008,1007,26,14,10,40,34,58,0,1,,81
12/2/2015,32,30,28,25,24,24,84,75,57,1013,1010,1009,26,13,10,47,34,66,0,2,,87
12/3/2015,31,29,27,25,24,23,89,75,54,1014,1012,1011,26,13,10,40,31,61,0.25,2,Rain,86
12/4/2015,32,29,27,25,24,24,84,76,59,1015,1013,1011,26,14,10,40,29,58,0,2,,81
12/5/2015,32,29,27,25,24,23,84,74,57,1015,1013,1012,26,14,10,39,27,,0,2,,86
12/6/2015,32,29,27,24,23,22,84,68,53,1014,1012,1010,26,14,10,40,31,60,0,1,Rain,85
12/7/2015,31,28,26,24,23,22,79,70,54,1013,1011,1008,31,15,10,37,29,53,0,2,,83
12/8/2015,32,29,26,24,23,23,84,73,55,1012,1010,1008,31,15,10,40,27,60,0,1,,89
12/9/2015,32,29,27,24,24,23,84,74,59,1013,1011,1009,31,14,10,42,32,61,0,1,,91
12/10/2015,32,29,27,25,24,23,84,74,54,1013,1010,1008,26,14,10,42,32,60,0,1,,90
12/11/2015,31,29,27,24,24,23,84,74,58,1013,1011,1009,26,14,10,40,32,60,0,2,,85
12/12/2015,31,29,27,24,23,23,84,72,56,1013,1010,1008,26,12,10,45,35,58,0,1,,84
12/13/2015,32,29,27,24,23,23,84,72,47,1012,1010,1007,18,11,2,150,39,69,0,1,,86
12/14/2015,31,29,27,24,23,23,84,75,60,1012,1010,1007,26,13,10,39,32,50,0,1,,87
12/15/2015,31,29,27,24,24,24,84,75,64,1011,1009,1006,26,14,10,40,31,55,0,2,,89
12/16/2015,32,30,27,25,24,24,84,76,61,1011,1009,1007,26,14,10,45,32,64,0,2,,84
12/17/2015,31,29,27,25,24,23,84,74,62,1010,1009,1007,26,13,10,48,34,71,0,2,,90
12/18/2015,31,29,27,24,24,23,79,73,59,1013,1010,1009,18,12,10,47,37,69,0,3,,85
12/19/2015,32,29,27,24,23,22,79,69,50,1014,1013,1011,19,12,10,39,32,60,0,1,,86
12/20/2015,32,29,27,24,23,22,84,72,58,1015,1013,1011,19,12,10,40,32,61,0,3,,85
12/21/2015,31,29,27,24,23,23,84,74,60,1015,1013,1011,26,12,10,48,39,82,0.76,2,Rain,82
12/22/2015,31,28,24,25,23,22,86,73,59,1014,1012,1009,26,13,5,50,35,71,0.51,2,Rain,81
12/23/2015,31,29,26,24,22,2,79,70,20,1014,1012,1010,26,14,10,47,37,63,0,2,,86
12/24/2015,31,29,27,23,23,22,79,70,54,1015,1013,1012,31,15,10,47,37,71,0,2,,78
12/25/2015,31,28,26,24,23,22,89,75,62,1015,1013,1012,31,15,10,47,40,63,1.02,3,Rain,79
12/26/2015,31,28,25,23,23,22,84,74,54,1014,1013,1011,31,15,10,42,34,61,0.51,2,Rain,79
12/27/2015,29,27,25,24,22,22,89,74,60,1013,1011,1009,31,14,8,48,34,72,0.51,2,Rain,82
12/28/2015,31,28,26,23,23,22,83,74,57,1013,1011,1009,31,15,10,48,35,63,0,2,,85
12/29/2015,31,29,27,24,23,23,84,73,54,1016,1014,1012,31,13,10,47,39,66,0,1,,84
12/30/2015,31,29,26,24,23,22,84,74,55,1017,1015,1013,26,13,10,45,37,64,0,2,,80
12/31/2015,30,28,26,23,23,22,83,73,60,1015,1013,1011,26,12,10,48,37,63,0,1,,82
